,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,Area,Short ref,Full ref,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
65,Pipistrellus_pipistrellus,BasalMetabolicRate,12.1,NA,NA,Mean,NA,ml O2/h,NA,individual,NA,Speakman & Thomas (2003),"Speakman, J. R., Thomas, D. W. (2003) Physiological ecology and energetics of bats, in: Bat ecology (eds. T. H. Kunz, M. B. Fenton), pp. 430â€“490. Chicago: University of Chicago Press.",Body_mass(g):_6.6,NA,Quality:_Rejected
66,Pipistrellus_pipistrellus,BasalMetabolicRatePerc,128.35,NA,NA,Mean,NA,%,NA,individual,NA,Speakman & Thomas (2003),"Speakman, J. R., Thomas, D. W. (2003) Physiological ecology and energetics of bats, in: Bat ecology (eds. T. H. Kunz, M. B. Fenton), pp. 430â€“490. Chicago: University of Chicago Press.",Body_mass(g):_6.6,NA,Quality:_Rejected
67,Pipistrellus_pipistrellus,BasalMetabolicRate,12.8,NA,NA,Mean,NA,ml O2/h,NA,individual,NA,Speakman & Racey,"Speakman, J. & Racey, P. (1991) No cost of echolocation for bats in flight. Nature, 350, 421-423.",Body_mass(g):_6,NA,Quality:_Rejected
68,Pipistrellus_pipistrellus,BasalMetabolicRatePerc,145.54,NA,NA,Mean,NA,%,NA,individual,NA,Speakman & Racey,"Speakman, J. & Racey, P. (1991) No cost of echolocation for bats in flight. Nature, 350, 421-423.",Body_mass(g):_6,NA,Quality:_Rejected
69,Pipistrellus_pipistrellus,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,NA,Kulzer (1965),"Kulzer, E. (1965) Temperaturregulation bei Flederm.usen (Chiroptera) ausverschiedenen Klimazonen. Zeitschrift fuÌˆr vergleichende Physiologie 50, 1â€“34.",NA,NA,NA
70,Pipistrellus_pipistrellus,MinBodyTemp,3,NA,NA,NA,NA,˚C,NA,individual,NA,Kulzer (1965),"Kulzer, E. (1965) Temperaturregulation bei Flederm.usen (Chiroptera) ausverschiedenen Klimazonen. Zeitschrift fuÌˆr vergleichende Physiologie 50, 1â€“34.",NA,NA,NA
71,Pipistrellus_pipistrellus,TotalEvaporativeWaterLossRate,0.084,NA,NA,Mean,NA,ml/h,NA,individual,NA,Webb (1995),"Webb, P.I., (1995) The comparative ecophysiology of water balance in microchiropteran bats. Symp. Zool. Soc. Lond. 67, 203â€“218.",Body_mass(g):_6.2,NA,NA
72,Pipistrellus_pygmaeus,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,Norway,Frafjord (2021),"Frafjord, K. (2021) Activity patterns of the soprano pipistrelle Pipistrellus pygmaeus throughout the year in southern Norway.Â BMC Zoology,Â 6(1), 1-8.",NA,NA,NA
73,Plecotus_auritus,BasalMetabolicRate,12.3,NA,NA,Mean,NA,ml O2/h,NA,individual,NA,Kayser (1939),"Kayser, C. (1939) Exchanges respiratoires des hibernants r.veill.s. Annales de Physiologie et de Physicochimie Biologique 15, 1087â€“1219.",Body_mass(g):_24,NA,Quality:_Rejected
74,Plecotus_auritus,BasalMetabolicRatePerc,50.91,NA,NA,Mean,NA,%,NA,individual,NA,Kayser (1939),"Kayser, C. (1939) Exchanges respiratoires des hibernants r.veill.s. Annales de Physiologie et de Physicochimie Biologique 15, 1087â€“1219.",Body_mass(g):_24,NA,Quality:_Rejected
75,Plecotus_auritus,BasalMetabolicRate,18.6,NA,NA,Mean,NA,ml O2/h,9,individual,NA,Webb et al. (1992),"Webb, P.I., Hays, G.C., Speakman, J.R., Racey, P.A., (1992) The functional significance of ventilation frequency, and its relationship to oxygen demand in the resting brown long-eared bat, Plecotus auritus. Journal of Comparative Physiology B 162,144â€“147.",Body_mass(g):_11.42,NA,Quality:_Accepted
76,Plecotus_auritus,BasalMetabolicRatePerc,132.29,NA,NA,Mean,NA,%,9,individual,NA,Webb et al. (1992),"Webb, P.I., Hays, G.C., Speakman, J.R., Racey, P.A., (1992) The functional significance of ventilation frequency, and its relationship to oxygen demand in the resting brown long-eared bat, Plecotus auritus. Journal of Comparative Physiology B 162,144â€“147.",Body_mass(g):_11.42,NA,Quality:_Accepted
